,CN1,CN2,CN3,CN4,CN5,CN6,CN7,CN8,CN9,CN10,CN11,CN12,CN13,CN14,CN15,CN16,CN17,CN18,CN19,CN20,CN21,CN22,CN23,CN24,CN25,% CN1,% CN2,% CN3,% CN4,% CN5,% CN6,% CN7,% CN8,% CN9,% CN10,% CN11,% CN12,% CN13,% CN14,% CN15,% CN16,% CN17,% CN18,% CN19,% CN20,% CN21,% CN22,% CN23,% CN24,Status
TCGA-BH-A0B4,26,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,20,30,0,0,0,0,21.311475409836067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.09791809654541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.401897925878405,16.05898646168204,0.0,0.0,0.0,Cogain
TCGA-A2-A3XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,120,0,0,0,74,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.807817589576544,0.0,0.0,34.903220305261065,0.0,0.0,0.0,19.539963876244002,Cogain
TCGA-AC-A2FM,26,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.90123456790123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cogain
TCGA-D8-A1XS,27,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,36.0,0.0,24.324324324324323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.518274415817855,0.0,0.0,0.0,0.0,Cogain
TCGA-E9-A1R5,19,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,18.095238095238095,0.0,0.0,47.93036750483559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.787109716855387,0.0,0.0,0.0,0.0,Cogain
TCGA-AR-A2LJ,26,0,0,0,0,0,14,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.827586206896555,0.0,0.0,0.0,0.0,0.0,13.615023474178404,0.0,15.458258836091238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cogain
TCGA-BH-A0HQ,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cogain
TCGA-E2-A15T,0,0,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.31095406360424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.080568527505623,0.0,0.0,0.0,Cogain
TCGA-D8-A1XM,29,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.777777777777779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cogain
TCGA-EW-A1J2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.695652173913043,0.0,Cogain
